Feature_Set,Model,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical,Logistic Regression,1,1.0,0.8,0.75,0.75,0.75,0.7916666666666667,0.02366948127746582,0.023941516876220703
Clinical,Logistic Regression,2,1.0,0.4,0.25,0.25,0.25,0.5,0.021393299102783203,0.028141021728515625
Clinical,Logistic Regression,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.7916666666666667,0.025876283645629883,0.032106876373291016
Clinical,Logistic Regression,4,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,0.7,0.04786872863769531,0.03467917442321777
Clinical,Logistic Regression,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.7000000000000001,0.01819443702697754,0.02057647705078125
Clinical,Decision Tree,1,1.0,0.6,0.5,0.5,0.5,0.5833333333333334,0.011482477188110352,0.020951032638549805
Clinical,Decision Tree,2,1.0,0.6,0.5,0.75,0.6,0.625,0.013885974884033203,0.02920055389404297
Clinical,Decision Tree,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.7083333333333334,0.015231132507324219,0.030626296997070312
Clinical,Decision Tree,4,1.0,0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.016382932662963867,0.024326562881469727
Clinical,Decision Tree,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.7750000000000001,0.016583681106567383,0.021993160247802734
Clinical,Random Forest,1,1.0,0.8,0.75,0.75,0.75,0.8333333333333334,0.5594632625579834,0.18343448638916016
Clinical,Random Forest,2,1.0,0.3,0.2,0.25,0.2222222222222222,0.5,0.553048849105835,0.18024301528930664
Clinical,Random Forest,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.6875,0.5710959434509277,0.195556640625
Clinical,Random Forest,4,1.0,0.7777777777777778,0.75,0.75,0.75,0.9500000000000001,0.5476586818695068,0.12910938262939453
Clinical,Random Forest,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.85,0.4383046627044678,0.12527012825012207
Clinical,Gradient Boosting,1,1.0,0.6,0.5,0.25,0.3333333333333333,0.625,0.11466646194458008,0.034002065658569336
Clinical,Gradient Boosting,2,1.0,0.5,0.4,0.5,0.4444444444444444,0.45833333333333337,0.11663603782653809,0.031213998794555664
Clinical,Gradient Boosting,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.7916666666666667,0.11787128448486328,0.03340578079223633
Clinical,Gradient Boosting,4,1.0,0.7777777777777778,0.75,0.75,0.75,0.9,0.11667895317077637,0.035744667053222656
Clinical,Gradient Boosting,5,1.0,0.5555555555555556,0.5,0.25,0.3333333333333333,0.6,0.10722947120666504,0.031687259674072266
Clinical,XGBoost,1,0.9736842105263158,0.7,0.6666666666666666,0.5,0.5714285714285714,0.875,0.1477200984954834,0.03726315498352051
Clinical,XGBoost,2,0.9736842105263158,0.4,0.25,0.25,0.25,0.45833333333333337,0.08289861679077148,0.034502506256103516
Clinical,XGBoost,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.7083333333333334,0.09137630462646484,0.03501105308532715
Clinical,XGBoost,4,1.0,0.7777777777777778,0.75,0.75,0.75,0.9500000000000001,0.0918889045715332,0.027385234832763672
Clinical,XGBoost,5,1.0,0.5555555555555556,0.5,0.5,0.5,0.75,0.08745837211608887,0.03547048568725586
Clinical,Support Vector Machine,1,1.0,0.6,0.5,0.5,0.5,0.7916666666666667,0.02060413360595703,0.03583526611328125
Clinical,Support Vector Machine,2,0.9736842105263158,0.3,0.2,0.25,0.2222222222222222,0.5,0.013038396835327148,0.018689870834350586
Clinical,Support Vector Machine,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.7083333333333334,0.010868310928344727,0.019053936004638672
Clinical,Support Vector Machine,4,0.9743589743589743,0.7777777777777778,0.6666666666666666,1.0,0.8,1.0,0.010637760162353516,0.01957225799560547
Clinical,Support Vector Machine,5,0.9743589743589743,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.9,0.010793209075927734,0.023968219757080078
MRI,Logistic Regression,1,0.7631578947368421,0.3,0.0,0.0,0.0,0.20833333333333334,0.010299444198608398,0.017002582550048828
MRI,Logistic Regression,2,0.8421052631578947,0.5,0.42857142857142855,0.75,0.5454545454545454,0.5833333333333333,0.009467363357543945,0.015228986740112305
MRI,Logistic Regression,3,0.7631578947368421,0.7,0.6,0.75,0.6666666666666666,0.7083333333333334,0.009565353393554688,0.016738414764404297
MRI,Logistic Regression,4,0.7692307692307693,0.5555555555555556,0.0,0.0,0.0,0.85,0.011823892593383789,0.017712831497192383
MRI,Logistic Regression,5,0.8205128205128205,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.45,0.011870384216308594,0.0161592960357666
MRI,Decision Tree,1,1.0,0.4,0.25,0.25,0.25,0.375,0.010415077209472656,0.021643400192260742
MRI,Decision Tree,2,1.0,0.4,0.25,0.25,0.25,0.375,0.011703252792358398,0.025249719619750977
MRI,Decision Tree,3,1.0,0.5,0.4,0.5,0.4444444444444444,0.5,0.008790254592895508,0.02098536491394043
MRI,Decision Tree,4,1.0,0.5555555555555556,0.5,0.25,0.3333333333333333,0.525,0.006379842758178711,0.013640165328979492
MRI,Decision Tree,5,1.0,0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.005899190902709961,0.016134977340698242
MRI,Random Forest,1,1.0,0.3,0.0,0.0,0.0,0.2916666666666667,0.46010923385620117,0.12487959861755371
MRI,Random Forest,2,1.0,0.4,0.375,0.75,0.5,0.4375,0.51688551902771,0.16030025482177734
