Feature_Set,Model,Mean_Train_Accuracy,Mean_CV_Accuracy,SD_CV_Accuracy,Mean_CV_Precision,SD_CV_Precision,Mean_CV_Recall,SD_CV_Recall,Mean_CV_F1,SD_CV_F1,Mean_CV_ROC_AUC,SD_CV_ROC_AUC,Mean_Fit_Time_Seconds,Train_Validation_Accuracy_Gap
Clinical,Support Vector Machine,0.9845,0.6289,0.2012,0.54,0.2033,0.65,0.3354,0.5787,0.2405,0.78,0.1914,0.0132,0.3556
Clinical,Random Forest,1.0,0.6911,0.2189,0.6233,0.2394,0.7,0.2739,0.6544,0.2426,0.7642,0.1749,0.5339,0.3089
Multimodal,XGBoost,1.0,0.6711,0.1888,0.7,0.2981,0.6,0.285,0.5914,0.2212,0.7633,0.2504,0.0892,0.3289
Clinical,XGBoost,0.9895,0.6467,0.1678,0.5667,0.199,0.6,0.285,0.5743,0.2194,0.7483,0.1887,0.1003,0.3428
Multimodal,Gradient Boosting,1.0,0.5889,0.1461,0.5633,0.2873,0.5,0.1768,0.5065,0.1645,0.7317,0.1292,0.0991,0.4111
Multimodal,Random Forest,1.0,0.6978,0.2809,0.65,0.3555,0.7,0.326,0.6614,0.3201,0.7283,0.237,0.5184,0.3022
Multimodal,Support Vector Machine,0.9845,0.5889,0.1907,0.501,0.2004,0.65,0.3354,0.5531,0.2307,0.7017,0.2142,0.0126,0.3956
Clinical,Logistic Regression,1.0,0.7111,0.1743,0.6833,0.2726,0.65,0.285,0.6433,0.225,0.6967,0.1191,0.0274,0.2889
Multimodal,Decision Tree,1.0,0.6667,0.1133,0.6333,0.2173,0.7,0.2092,0.6333,0.1106,0.6767,0.1133,0.0125,0.3333
Clinical,Gradient Boosting,1.0,0.6267,0.1118,0.55,0.1323,0.5,0.25,0.5056,0.1929,0.675,0.1727,0.1146,0.3733
Clinical,Decision Tree,1.0,0.6467,0.0904,0.57,0.1095,0.65,0.1369,0.6033,0.1083,0.6483,0.0923,0.0147,0.3533
Multimodal,Logistic Regression,1.0,0.5889,0.1907,0.5067,0.37,0.45,0.326,0.4571,0.3042,0.64,0.1511,0.0164,0.4111
MRI,Logistic Regression,0.7916,0.5444,0.1589,0.339,0.3215,0.4,0.3791,0.3567,0.3287,0.56,0.2462,0.0106,0.2472
MRI,XGBoost,0.9947,0.4822,0.1494,0.3,0.2981,0.25,0.25,0.261,0.2536,0.555,0.1793,0.0902,0.5125
MRI,Random Forest,1.0,0.5467,0.1835,0.5417,0.375,0.4,0.285,0.4086,0.239,0.5425,0.1983,0.5326,0.4533
MRI,Gradient Boosting,1.0,0.5222,0.0304,0.44,0.0548,0.4,0.1369,0.4,0.0609,0.5117,0.0893,0.0872,0.4778
MRI,Support Vector Machine,0.7448,0.5044,0.1127,0.4333,0.1491,0.45,0.1118,0.4314,0.109,0.4883,0.1681,0.0075,0.2404
MRI,Decision Tree,1.0,0.4822,0.0784,0.38,0.1255,0.35,0.1369,0.3556,0.1135,0.465,0.084,0.0086,0.5178
