Candidate,Feature_Set,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__penalty,param_classifier__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__gamma,param_classifier__kernel,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__min_child_weight,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample
Clinical Logistic Regression,Clinical,0.008869409561157227,0.0008440468528258799,0.015754079818725585,0.0013130566789210049,0.0745934328572655,,l1,liblinear,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.0082794189453125,0.00020673014191856682,0.014395761489868163,0.0003130596785760404,4.5705630998014515,,l1,liblinear,"{'classifier__C': np.float64(4.5705630998014515), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.4,0.4,0.8,0.5555555555555556,0.4444444444444444,0.5200000000000001,0.15111111111111114,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.3333333333333333,0.6666666666666666,0.5,0.42857142857142855,0.43571428571428567,0.1431742512225991,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.5,1.0,0.5,0.75,0.6,0.25495097567963926,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.4,0.8,0.5,0.5454545454545454,0.49909090909090914,0.18141774084751158,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5416666666666666,0.33333333333333337,0.7916666666666667,0.55,0.5,0.5433333333333333,0.14676133308500877,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.008872222900390626,0.0004759107985139769,0.018531274795532227,0.0058437609541224355,0.006026889128682512,,l1,liblinear,"{'classifier__C': np.float64(0.006026889128682512), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.008803939819335938,0.0003850540981091811,0.014834022521972657,0.000310116301926292,0.0019517224641449498,balanced,l1,liblinear,"{'classifier__C': np.float64(0.0019517224641449498), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.008853769302368164,0.0003991447057619109,0.027033567428588867,0.02319303923457687,1.0129197956845732,balanced,l1,liblinear,"{'classifier__C': np.float64(1.0129197956845732), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7,0.3,0.8,0.6666666666666666,0.5555555555555556,0.6044444444444445,0.1710678155903798,11,0.9210526315789473,0.9736842105263158,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9271255060728747,0.025637474006457602,0.6,0.2,0.6666666666666666,0.6666666666666666,0.5,0.5266666666666666,0.17435595774162693,11,0.8823529411764706,0.9411764705882353,0.8333333333333334,0.8421052631578947,0.8823529411764706,0.8762641898864809,0.0382037712538485,0.75,0.25,1.0,0.5,0.75,0.65,0.25495097567963926,5,0.9375,1.0,0.9375,1.0,0.9375,0.9625,0.03061862178478973,0.6666666666666666,0.2222222222222222,0.8,0.5714285714285714,0.6,0.572063492063492,0.19187213345316192,10,0.9090909090909091,0.9696969696969697,0.8823529411764706,0.9142857142857143,0.9090909090909091,0.9169034886681946,0.02866990587056025,0.75,0.45833333333333337,0.7500000000000001,0.7,0.75,0.6816666666666666,0.11333333333333334,7,0.9829545454545454,0.9971590909090909,0.9829545454545454,0.9891304347826088,0.9891304347826086,0.9882658102766799,0.005234589945755238,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.008710765838623047,0.0004607624584424795,0.014580106735229493,0.0004276573966608782,0.001267425589893723,balanced,l2,liblinear,"{'classifier__C': np.float64(0.001267425589893723), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.8,0.4,0.8,1.0,0.7777777777777778,0.7555555555555555,0.19525229010212264,2,0.7631578947368421,0.868421052631579,0.8947368421052632,0.8461538461538461,0.8205128205128205,0.8385964912280702,0.04498079158953088,0.6666666666666666,0.25,0.6666666666666666,1.0,1.0,0.7166666666666666,0.27688746209726917,3,0.7058823529411765,0.7894736842105263,0.8333333333333334,0.75,0.7647058823529411,0.7686790505675954,0.04223910817441184,1.0,0.25,1.0,1.0,0.5,0.75,0.31622776601683794,1,0.75,0.9375,0.9375,0.9375,0.8125,0.875,0.07905694150420949,0.8,0.25,0.8,1.0,0.6666666666666666,0.7033333333333334,0.250421866279906,2,0.7272727272727273,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.7878787878787878,0.8175961293608353,0.054857060244226714,0.875,0.5833333333333334,0.7916666666666667,1.0,0.9,0.8300000000000001,0.14009917122445004,2,0.9204545454545454,0.96875,0.9460227272727273,0.8994565217391305,0.9266304347826086,0.9322628458498023,0.023528967971681893,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.01004180908203125,0.0014129044479601635,0.017999792098999025,0.002798385141154443,14.528246637516036,balanced,l2,liblinear,"{'classifier__C': np.float64(14.528246637516036), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7,0.5,0.8,0.5555555555555556,0.5555555555555556,0.6222222222222221,0.11088866622110799,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5333333333333333,0.12472191289246469,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.25,1.0,0.5,0.75,0.6,0.25495097567963926,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5714285714285714,0.2857142857142857,0.8,0.5,0.6,0.5514285714285714,0.16600958910095942,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.45833333333333337,0.8333333333333334,0.55,0.7000000000000001,0.6583333333333334,0.13601470508735444,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.009366655349731445,0.000814287550922233,0.015820026397705078,0.000600911087316369,0.008111941985431923,,l1,liblinear,"{'classifier__C': np.float64(0.008111941985431923), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.009488868713378906,0.0002708250949539063,0.015934324264526366,0.0006661078301874095,0.033205591037519584,balanced,l1,liblinear,"{'classifier__C': np.float64(0.033205591037519584), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.008796262741088866,0.0005415399403786882,0.015938758850097656,0.0006725778397151141,0.14445251022763064,,l1,liblinear,"{'classifier__C': np.float64(0.14445251022763064), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8,0.5,0.7,1.0,0.8888888888888888,0.7777777777777778,0.17054741203866572,1,0.7368421052631579,0.8421052631578947,0.7894736842105263,0.717948717948718,0.7435897435897436,0.7659919028340081,0.04473109148580547,0.75,0.4,0.6,1.0,1.0,0.75,0.23237900077244503,1,0.65,0.8125,0.75,0.6470588235294118,0.6666666666666666,0.7052450980392156,0.0654714808294362,0.75,0.5,0.75,1.0,0.75,0.75,0.15811388300841897,1,0.8125,0.8125,0.75,0.6875,0.75,0.7625,0.04677071733467427,0.75,0.4444444444444444,0.6666666666666666,1.0,0.8571428571428571,0.7436507936507937,0.1865940361885767,1,0.7222222222222222,0.8125,0.75,0.6666666666666666,0.7058823529411765,0.7314542483660131,0.0486804717445822,0.9583333333333334,0.5833333333333334,0.7916666666666666,1.0,0.925,0.8516666666666668,0.15123565129367553,1,0.8508522727272727,0.9190340909090909,0.8764204545454546,0.8342391304347827,0.8478260869565217,0.8656744071146246,0.029963872280571995,,,,,,,,,,,,,,
