Candidate,Feature_Set,Model_Stage,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Logistic Regression,Clinical,Tuned,1,1,0.7368421052631579,0.8,0.75,0.75,0.75,0.9583333333333334,0.017600297927856445,0.028317928314208984
Clinical Logistic Regression,Clinical,Tuned,1,2,0.8421052631578947,0.5,0.4,0.5,0.4444444444444444,0.5833333333333334,0.010434150695800781,0.019017457962036133
Clinical Logistic Regression,Clinical,Tuned,1,3,0.7894736842105263,0.7,0.6,0.75,0.6666666666666666,0.7916666666666666,0.009933710098266602,0.018509387969970703
Clinical Logistic Regression,Clinical,Tuned,1,4,0.717948717948718,1.0,1.0,1.0,1.0,1.0,0.009828567504882812,0.017345666885375977
Clinical Logistic Regression,Clinical,Tuned,1,5,0.7435897435897436,0.8888888888888888,1.0,0.75,0.8571428571428571,0.925,0.009778022766113281,0.018146753311157227
Clinical Logistic Regression,Clinical,Tuned,2,1,0.8421052631578947,0.6,0.5,1.0,0.6666666666666666,0.9375,0.009328126907348633,0.017834901809692383
Clinical Logistic Regression,Clinical,Tuned,2,2,0.8157894736842105,0.5,0.3333333333333333,0.25,0.2857142857142857,0.6875,0.00951385498046875,0.017475128173828125
Clinical Logistic Regression,Clinical,Tuned,2,3,0.7894736842105263,0.8,1.0,0.5,0.6666666666666666,0.9166666666666667,0.008934497833251953,0.016801118850708008
Clinical Logistic Regression,Clinical,Tuned,2,4,0.717948717948718,1.0,1.0,1.0,1.0,1.0,0.009121417999267578,0.01727747917175293
Clinical Logistic Regression,Clinical,Tuned,2,5,0.7435897435897436,0.7777777777777778,0.75,0.75,0.75,0.8,0.008564233779907227,0.015809297561645508
Clinical Logistic Regression,Clinical,Tuned,3,1,0.7894736842105263,0.7,0.6,0.75,0.6666666666666666,0.7916666666666667,0.008271455764770508,0.015089273452758789
Clinical Logistic Regression,Clinical,Tuned,3,2,0.8157894736842105,0.7,0.5714285714285714,1.0,0.7272727272727273,0.6666666666666667,0.010863065719604492,0.020850658416748047
Clinical Logistic Regression,Clinical,Tuned,3,3,0.7631578947368421,0.8,0.75,0.75,0.75,0.7916666666666667,0.00822138786315918,0.014878273010253906
Clinical Logistic Regression,Clinical,Tuned,3,4,0.717948717948718,1.0,1.0,1.0,1.0,1.0,0.008785247802734375,0.014466285705566406
Clinical Logistic Regression,Clinical,Tuned,3,5,0.8461538461538461,0.4444444444444444,0.3333333333333333,0.25,0.2857142857142857,0.675,0.009068012237548828,0.01892566680908203
Clinical Logistic Regression,Clinical,Tuned,4,1,0.8157894736842105,0.7,0.5714285714285714,1.0,0.7272727272727273,0.625,0.008963584899902344,0.014330387115478516
Clinical Logistic Regression,Clinical,Tuned,4,2,0.7894736842105263,0.7,0.6666666666666666,0.5,0.5714285714285714,0.8541666666666666,0.008074522018432617,0.015418767929077148
Clinical Logistic Regression,Clinical,Tuned,4,3,0.7368421052631579,0.9,0.8,1.0,0.8888888888888888,0.9166666666666666,0.008129596710205078,0.014075517654418945
Clinical Logistic Regression,Clinical,Tuned,4,4,0.8205128205128205,0.5555555555555556,0.5,0.5,0.5,0.775,0.008897066116333008,0.013616085052490234
Clinical Logistic Regression,Clinical,Tuned,4,5,0.7435897435897436,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9,0.010902643203735352,0.015175342559814453
Clinical Logistic Regression,Clinical,Tuned,5,1,0.7631578947368421,0.8,1.0,0.5,0.6666666666666666,0.9583333333333333,0.0077648162841796875,0.013552188873291016
Clinical Logistic Regression,Clinical,Tuned,5,2,0.868421052631579,0.3,0.2857142857142857,0.5,0.36363636363636365,0.5208333333333333,0.008455991744995117,0.01524043083190918
Clinical Logistic Regression,Clinical,Tuned,5,3,0.7368421052631579,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.010098457336425781,0.01529836654663086
Clinical Logistic Regression,Clinical,Tuned,5,4,0.7435897435897436,0.8888888888888888,0.8,1.0,0.8888888888888888,0.925,0.008532285690307617,0.013859033584594727
Clinical Logistic Regression,Clinical,Tuned,5,5,0.7692307692307693,0.7777777777777778,0.75,0.75,0.75,0.9249999999999999,0.00832366943359375,0.015248537063598633
Clinical Logistic Regression,Clinical,Tuned,6,1,0.8157894736842105,0.5,0.4,0.5,0.4444444444444444,0.6458333333333334,0.007634401321411133,0.013717412948608398
Clinical Logistic Regression,Clinical,Tuned,6,2,0.7631578947368421,0.8,0.75,0.75,0.75,0.9583333333333334,0.0076274871826171875,0.015072822570800781
Clinical Logistic Regression,Clinical,Tuned,6,3,0.7105263157894737,0.9,1.0,0.75,0.8571428571428571,0.9583333333333334,0.008697509765625,0.014503240585327148
Clinical Logistic Regression,Clinical,Tuned,6,4,0.7692307692307693,0.7777777777777778,0.75,0.75,0.75,0.875,0.008224010467529297,0.015677690505981445
Clinical Logistic Regression,Clinical,Tuned,6,5,0.8205128205128205,0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.825,0.009137630462646484,0.015624284744262695
Clinical Logistic Regression,Clinical,Tuned,7,1,0.7631578947368421,0.8,0.75,0.75,0.75,0.8958333333333334,0.009647369384765625,0.025165557861328125
Clinical Logistic Regression,Clinical,Tuned,7,2,0.8157894736842105,0.7,0.6666666666666666,0.5,0.5714285714285714,0.7916666666666667,0.008557796478271484,0.014841079711914062
Clinical Logistic Regression,Clinical,Tuned,7,3,0.7631578947368421,0.8,0.75,0.75,0.75,0.8333333333333334,0.009782552719116211,0.016316652297973633
Clinical Logistic Regression,Clinical,Tuned,7,4,0.8205128205128205,0.6666666666666666,0.6,0.75,0.6666666666666666,0.8,0.009679794311523438,0.01613616943359375
Clinical Logistic Regression,Clinical,Tuned,7,5,0.717948717948718,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8,0.00929713249206543,0.015426158905029297
Clinical Logistic Regression,Clinical,Tuned,8,1,0.7105263157894737,1.0,1.0,1.0,1.0,1.0,0.009218454360961914,0.017008066177368164
Clinical Logistic Regression,Clinical,Tuned,8,2,0.7105263157894737,0.9,0.8,1.0,0.8888888888888888,0.8333333333333334,0.010706186294555664,0.0164031982421875
Clinical Logistic Regression,Clinical,Tuned,8,3,0.7894736842105263,0.4,0.0,0.0,0.0,0.6666666666666666,0.00847315788269043,0.016574382781982422
Clinical Logistic Regression,Clinical,Tuned,8,4,0.8461538461538461,0.5555555555555556,0.5,0.75,0.6,0.575,0.010277509689331055,0.015900611877441406
Clinical Logistic Regression,Clinical,Tuned,8,5,0.7692307692307693,0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.925,0.008747577667236328,0.01536870002746582
Clinical Logistic Regression,Clinical,Tuned,9,1,0.8421052631578947,0.6,0.5,0.25,0.3333333333333333,0.8125,0.00930023193359375,0.015527009963989258
Clinical Logistic Regression,Clinical,Tuned,9,2,0.7894736842105263,0.7,0.6,0.75,0.6666666666666666,0.7500000000000001,0.009147405624389648,0.015385866165161133
Clinical Logistic Regression,Clinical,Tuned,9,3,0.7368421052631579,0.8,0.6666666666666666,1.0,0.8,1.0,0.009297847747802734,0.016275644302368164
Clinical Logistic Regression,Clinical,Tuned,9,4,0.8205128205128205,0.5555555555555556,0.5,0.5,0.5,0.725,0.009210348129272461,0.014987945556640625
Clinical Logistic Regression,Clinical,Tuned,9,5,0.7692307692307693,0.7777777777777778,0.75,0.75,0.75,0.925,0.009626626968383789,0.015969276428222656
Clinical Logistic Regression,Clinical,Tuned,10,1,0.8421052631578947,0.8,0.6666666666666666,1.0,0.8,0.7083333333333334,0.00968480110168457,0.017370223999023438
Clinical Logistic Regression,Clinical,Tuned,10,2,0.7368421052631579,0.9,1.0,0.75,0.8571428571428571,1.0,0.010048151016235352,0.021086454391479492
Clinical Logistic Regression,Clinical,Tuned,10,3,0.7894736842105263,0.6,0.5,0.5,0.5,0.6666666666666666,0.00961446762084961,0.01683950424194336
Clinical Logistic Regression,Clinical,Tuned,10,4,0.8461538461538461,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.49999999999999994,0.010234355926513672,0.021734952926635742
Clinical Logistic Regression,Clinical,Tuned,10,5,0.7435897435897436,1.0,1.0,1.0,1.0,1.0,0.009286880493164062,0.018555641174316406
Clinical Random Forest,Clinical,Tuned,1,1,0.8421052631578947,0.9,0.8,1.0,0.8888888888888888,0.9166666666666667,0.4992520809173584,0.09875154495239258
Clinical Random Forest,Clinical,Tuned,1,2,0.9210526315789473,0.4,0.3333333333333333,0.5,0.4,0.5833333333333334,0.5165395736694336,0.1025400161743164
Clinical Random Forest,Clinical,Tuned,1,3,0.868421052631579,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.4887688159942627,0.10181236267089844
Clinical Random Forest,Clinical,Tuned,1,4,0.7948717948717948,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9500000000000001,0.4834163188934326,0.09970879554748535
Clinical Random Forest,Clinical,Tuned,1,5,0.8717948717948718,0.7777777777777778,0.75,0.75,0.75,0.85,0.47106289863586426,0.1037454605102539
Clinical Random Forest,Clinical,Tuned,2,1,0.868421052631579,0.6,0.5,1.0,0.6666666666666666,0.625,0.45319104194641113,0.11594533920288086
Clinical Random Forest,Clinical,Tuned,2,2,0.868421052631579,0.7,0.6666666666666666,0.5,0.5714285714285714,0.7500000000000001,0.47357892990112305,0.10448741912841797
Clinical Random Forest,Clinical,Tuned,2,3,0.868421052631579,0.6,0.5,0.25,0.3333333333333333,0.7916666666666667,0.4675791263580322,0.09716391563415527
Clinical Random Forest,Clinical,Tuned,2,4,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0.4460415840148926,0.09826302528381348
Clinical Random Forest,Clinical,Tuned,2,5,0.8205128205128205,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9,0.48361635208129883,0.09942770004272461
Clinical Random Forest,Clinical,Tuned,3,1,0.868421052631579,0.7,0.6,0.75,0.6666666666666666,0.7916666666666667,0.4381093978881836,0.0974729061126709
Clinical Random Forest,Clinical,Tuned,3,2,0.8421052631578947,0.8,0.6666666666666666,1.0,0.8,0.9583333333333334,0.44771742820739746,0.09972119331359863
Clinical Random Forest,Clinical,Tuned,3,3,0.8421052631578947,0.8,0.75,0.75,0.75,0.8333333333333334,0.4753847122192383,0.09856867790222168
Clinical Random Forest,Clinical,Tuned,3,4,0.7948717948717948,0.8888888888888888,0.8,1.0,0.8888888888888888,1.0,0.7267482280731201,0.09839272499084473
Clinical Random Forest,Clinical,Tuned,3,5,0.8461538461538461,0.5555555555555556,0.5,0.5,0.5,0.7,0.45221710205078125,0.10382461547851562
Clinical Random Forest,Clinical,Tuned,4,1,0.8421052631578947,0.6,0.5,0.75,0.6,0.75,0.43731045722961426,0.10059070587158203
Clinical Random Forest,Clinical,Tuned,4,2,0.8157894736842105,0.7,0.6666666666666666,0.5,0.5714285714285714,0.9166666666666667,0.4360668659210205,0.09609365463256836
Clinical Random Forest,Clinical,Tuned,4,3,0.7894736842105263,0.9,0.8,1.0,0.8888888888888888,1.0,0.4237937927246094,0.10064482688903809
Clinical Random Forest,Clinical,Tuned,4,4,0.8974358974358975,0.6666666666666666,0.6,0.75,0.6666666666666666,0.8,0.4158205986022949,0.09436941146850586
Clinical Random Forest,Clinical,Tuned,4,5,0.8205128205128205,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8500000000000001,0.44663214683532715,0.09973812103271484
Clinical Random Forest,Clinical,Tuned,5,1,0.7894736842105263,0.8,1.0,0.5,0.6666666666666666,0.9166666666666667,0.4595162868499756,0.10341429710388184
Clinical Random Forest,Clinical,Tuned,5,2,0.9210526315789473,0.4,0.375,0.75,0.5,0.625,0.45264506340026855,0.0981144905090332
Clinical Random Forest,Clinical,Tuned,5,3,0.8157894736842105,0.9,0.8,1.0,0.8888888888888888,0.9583333333333334,0.4388730525970459,0.10024023056030273
Clinical Random Forest,Clinical,Tuned,5,4,0.8461538461538461,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8500000000000001,0.4375145435333252,0.09600067138671875
Clinical Random Forest,Clinical,Tuned,5,5,0.8205128205128205,0.7777777777777778,0.75,0.75,0.75,0.8500000000000001,0.41751909255981445,0.09316778182983398
Clinical Random Forest,Clinical,Tuned,6,1,0.868421052631579,0.5,0.42857142857142855,0.75,0.5454545454545454,0.625,0.4342787265777588,0.10017657279968262
Clinical Random Forest,Clinical,Tuned,6,2,0.868421052631579,0.9,0.8,1.0,0.8888888888888888,0.875,0.4273664951324463,0.09654450416564941
Clinical Random Forest,Clinical,Tuned,6,3,0.7894736842105263,1.0,1.0,1.0,1.0,1.0,0.4234123229980469,0.09797239303588867
Clinical Random Forest,Clinical,Tuned,6,4,0.7948717948717948,0.7777777777777778,0.75,0.75,0.75,0.9500000000000001,0.4125547409057617,0.0982968807220459
Clinical Random Forest,Clinical,Tuned,6,5,0.8974358974358975,0.5555555555555556,0.5,0.75,0.6,0.55,0.4534468650817871,0.09826040267944336
Clinical Random Forest,Clinical,Tuned,7,1,0.868421052631579,0.6,0.5,0.5,0.5,0.75,0.4564950466156006,0.09732747077941895
Clinical Random Forest,Clinical,Tuned,7,2,0.8421052631578947,0.7,0.6666666666666666,0.5,0.5714285714285714,0.9166666666666667,0.44803667068481445,0.098297119140625
Clinical Random Forest,Clinical,Tuned,7,3,0.8157894736842105,0.8,0.75,0.75,0.75,0.875,0.4482400417327881,0.09960317611694336
Clinical Random Forest,Clinical,Tuned,7,4,0.8717948717948718,0.7777777777777778,0.6666666666666666,1.0,0.8,0.8,0.44594907760620117,0.10241556167602539
Clinical Random Forest,Clinical,Tuned,7,5,0.8205128205128205,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9500000000000001,0.4681563377380371,0.09723544120788574
Clinical Random Forest,Clinical,Tuned,8,1,0.7894736842105263,1.0,1.0,1.0,1.0,1.0,0.4395778179168701,0.09837031364440918
Clinical Random Forest,Clinical,Tuned,8,2,0.7894736842105263,0.9,0.8,1.0,0.8888888888888888,1.0,0.431196928024292,0.09743523597717285
Clinical Random Forest,Clinical,Tuned,8,3,0.868421052631579,0.5,0.3333333333333333,0.25,0.2857142857142857,0.7083333333333334,0.43146467208862305,0.09753942489624023
Clinical Random Forest,Clinical,Tuned,8,4,0.8974358974358975,0.4444444444444444,0.4,0.5,0.4444444444444444,0.5,0.4417877197265625,0.09996438026428223
Clinical Random Forest,Clinical,Tuned,8,5,0.8461538461538461,0.6666666666666666,0.6,0.75,0.6666666666666666,0.75,0.44951677322387695,0.09867334365844727
Clinical Random Forest,Clinical,Tuned,9,1,0.7894736842105263,0.9,0.8,1.0,0.8888888888888888,1.0,0.4427330493927002,0.1005849838256836
Clinical Random Forest,Clinical,Tuned,9,2,0.8421052631578947,0.6,0.5,0.5,0.5,0.625,0.43808746337890625,0.10008478164672852
Clinical Random Forest,Clinical,Tuned,9,3,0.8421052631578947,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.4531228542327881,0.09721684455871582
Clinical Random Forest,Clinical,Tuned,9,4,0.8205128205128205,0.7777777777777778,0.75,0.75,0.75,0.8,0.45981621742248535,0.09379911422729492
Clinical Random Forest,Clinical,Tuned,9,5,0.8205128205128205,0.7777777777777778,0.75,0.75,0.75,0.9,0.4334259033203125,0.09714198112487793
Clinical Random Forest,Clinical,Tuned,10,1,0.868421052631579,0.7,0.6,0.75,0.6666666666666666,0.7500000000000001,0.4371652603149414,0.09529590606689453
Clinical Random Forest,Clinical,Tuned,10,2,0.7894736842105263,0.9,1.0,0.75,0.8571428571428571,0.9583333333333334,0.4258706569671631,0.09662342071533203
Clinical Random Forest,Clinical,Tuned,10,3,0.868421052631579,0.7,0.6,0.75,0.6666666666666666,0.75,0.4256858825683594,0.09771990776062012
Clinical Random Forest,Clinical,Tuned,10,4,0.8717948717948718,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.65,0.43032050132751465,0.09407258033752441
Clinical Random Forest,Clinical,Tuned,10,5,0.8461538461538461,0.8888888888888888,1.0,0.75,0.8571428571428571,1.0,0.43477368354797363,0.09568428993225098
Clinical Support Vector Machine,Clinical,Tuned,1,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.008366584777832031,0.01508474349975586
Clinical Support Vector Machine,Clinical,Tuned,1,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.5,0.00928044319152832,0.013947725296020508
Clinical Support Vector Machine,Clinical,Tuned,1,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.011685848236083984,0.015620946884155273
Clinical Support Vector Machine,Clinical,Tuned,1,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.00863957405090332,0.014921188354492188
Clinical Support Vector Machine,Clinical,Tuned,1,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.9500000000000001,0.009923458099365234,0.014458179473876953
Clinical Support Vector Machine,Clinical,Tuned,2,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666667,0.008848905563354492,0.016045331954956055
Clinical Support Vector Machine,Clinical,Tuned,2,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.7083333333333334,0.008559942245483398,0.014295816421508789
Clinical Support Vector Machine,Clinical,Tuned,2,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.6666666666666667,0.009119033813476562,0.016225099563598633
Clinical Support Vector Machine,Clinical,Tuned,2,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.009884119033813477,0.014731884002685547
Clinical Support Vector Machine,Clinical,Tuned,2,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.8,0.00867319107055664,0.014812946319580078
Clinical Support Vector Machine,Clinical,Tuned,3,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.7083333333333334,0.008872270584106445,0.01605987548828125
Clinical Support Vector Machine,Clinical,Tuned,3,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.008446931838989258,0.014377117156982422
