Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Logistic Regression,Clinical,1,1,1.0,0.8,0.75,0.75,0.75,0.7916666666666667,0.015241622924804688,0.016193628311157227
Clinical Logistic Regression,Clinical,1,2,1.0,0.4,0.25,0.25,0.25,0.5,0.011472940444946289,0.013312816619873047
Clinical Logistic Regression,Clinical,1,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.7916666666666667,0.01215362548828125,0.015435457229614258
Clinical Logistic Regression,Clinical,1,4,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,0.7,0.012050151824951172,0.013701438903808594
Clinical Logistic Regression,Clinical,1,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.7000000000000001,0.013061046600341797,0.015600919723510742
Clinical Logistic Regression,Clinical,2,1,1.0,0.6,0.5,1.0,0.6666666666666666,0.8333333333333334,0.010526180267333984,0.01596212387084961
Clinical Logistic Regression,Clinical,2,2,1.0,0.6,0.5,0.5,0.5,0.625,0.010932683944702148,0.013185262680053711
Clinical Logistic Regression,Clinical,2,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.625,0.011290550231933594,0.014475345611572266
Clinical Logistic Regression,Clinical,2,4,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,1.0,0.012351512908935547,0.014428377151489258
Clinical Logistic Regression,Clinical,2,5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.7,0.01137852668762207,0.013443470001220703
Clinical Logistic Regression,Clinical,3,1,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.5,0.012720346450805664,0.014162540435791016
Clinical Logistic Regression,Clinical,3,2,1.0,0.7,0.6,0.75,0.6666666666666666,0.8333333333333334,0.011274099349975586,0.013863325119018555
Clinical Logistic Regression,Clinical,3,3,0.9736842105263158,0.7,0.6,0.75,0.6666666666666666,0.8333333333333334,0.012195110321044922,0.015417098999023438
Clinical Logistic Regression,Clinical,3,4,1.0,0.6666666666666666,1.0,0.25,0.4,0.85,0.011963605880737305,0.01387643814086914
Clinical Logistic Regression,Clinical,3,5,0.9743589743589743,0.7777777777777778,0.75,0.75,0.75,0.8500000000000001,0.013430118560791016,0.015151262283325195
Clinical Logistic Regression,Clinical,4,1,1.0,0.7,0.6,0.75,0.6666666666666666,0.7083333333333334,0.013700485229492188,0.013539552688598633
Clinical Logistic Regression,Clinical,4,2,0.9736842105263158,0.7,0.6666666666666666,0.5,0.5714285714285714,0.8333333333333334,0.012188434600830078,0.015228986740112305
Clinical Logistic Regression,Clinical,4,3,1.0,0.9,0.8,1.0,0.8888888888888888,0.875,0.013149023056030273,0.01448512077331543
Clinical Logistic Regression,Clinical,4,4,0.9743589743589743,0.6666666666666666,0.6,0.75,0.6666666666666666,0.85,0.014456748962402344,0.014495611190795898
Clinical Logistic Regression,Clinical,4,5,0.9743589743589743,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9,0.013576507568359375,0.013978004455566406
Clinical Logistic Regression,Clinical,5,1,1.0,0.8,1.0,0.5,0.6666666666666666,0.875,0.012830018997192383,0.015569210052490234
Clinical Logistic Regression,Clinical,5,2,1.0,0.5,0.4,0.5,0.4444444444444444,0.5416666666666667,0.011832237243652344,0.018310546875
Clinical Logistic Regression,Clinical,5,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.8333333333333334,0.013121843338012695,0.014194011688232422
