Feature,SHAP_Value,Absolute_SHAP
Total_Abnormal_Neuro_Findings,0.07292909592547692,0.07292909592547692
Age_of_onset,-0.03661628937836184,0.03661628937836184
Age,-0.025982324047176722,0.025982324047176722
Coordination,-0.02466890626976205,0.02466890626976205
Motor_System,0.023318233520619385,0.023318233520619385
Cerebella,-0.013753656848802061,0.013753656848802061
Presenting_Symptom_Sensory,0.01065800766299092,0.01065800766299092
Visual,0.010600854675486798,0.010600854675486798
Gait,0.009866617960035743,0.009866617960035743
Sensory,-0.007610059459185699,0.007610059459185699
Pyramidal,0.007411156506384822,0.007411156506384822
Presenting_Symptom_Motor,-0.006863510159908095,0.006863510159908095
Disease_Duration,-0.006151221585184433,0.006151221585184433
Presenting_Symptom_Visual,-0.004503561956278894,0.004503561956278894
Sphincters,0.0032555250540869645,0.0032555250540869645
Types_of_Medicines_Betaferon,-0.0031072131935678078,0.0031072131935678078
Sensory_System,-0.0031018842155960845,0.0031018842155960845
Types_of_Medicines_Rebif,0.0029674384688065506,0.0029674384688065506
Optic_discs,-0.0020456333884566677,0.0020456333884566677
Nystagmus,0.0012207691540247357,0.0012207691540247357
Co_morbidity_No,-0.0008652075870377502,0.0008652075870377502
Gender_F,0.0005480057147011177,0.0005480057147011177
Types_of_Medicines_Gelenia,-0.00022302377698538603,0.00022302377698538603
Bowel_and_bladder_function,-0.00013712333328814823,0.00013712333328814823
Gender_M,0.0001367198752164002,0.0001367198752164002
Brain_stem,0.0,0.0
Mental,0.0,0.0
Speech,0.0,0.0
Types_of_Medicines_Avonex,0.0,0.0
Swallowing,0.0,0.0
Mobility,0.0,0.0
Mental_State,0.0,0.0
Ocular_Movement,0.0,0.0
Presenting_Symptom_Balance,0.0,0.0
Types_of_Medicines_Tysabri,0.0,0.0
Presenting_Symptom_Motor & Visual,0.0,0.0
Presenting_Symptom_Motor & Sensory,0.0,0.0
Presenting_Symptom_Motor & Behavioural,0.0,0.0
Presenting_Symptom_Pain,0.0,0.0
Presenting_Symptom_Sensory & Visual,0.0,0.0
Presenting_Symptom_Sensory & Motor,0.0,0.0
"Presenting_Symptom_Sensory & Visual ,Balance , Motor, Sexual,Fatigue",0.0,0.0
Co_morbidity_Yes,0.0,0.0
