Feature,SHAP_Value,Absolute_SHAP
Total_Abnormal_Neuro_Findings,-0.10706912626278733,0.10706912626278733
Motor_System,-0.043899594209375385,0.043899594209375385
Age_of_onset,-0.03564446020010657,0.03564446020010657
Coordination,-0.027767826458367572,0.027767826458367572
Age,-0.025222329036689837,0.025222329036689837
Presenting_Symptom_Sensory,-0.023835812961764367,0.023835812961764367
Cerebella,-0.015987876442527346,0.015987876442527346
Pyramidal,-0.011075584157019158,0.011075584157019158
Sensory,-0.00983156673305956,0.00983156673305956
Visual,-0.009316294849812973,0.009316294849812973
Sensory_System,0.008731880611840504,0.008731880611840504
Gait,-0.00689313090538933,0.00689313090538933
Presenting_Symptom_Motor,-0.006873147815271899,0.006873147815271899
Types_of_Medicines_Rebif,-0.0066972938517168255,0.0066972938517168255
Disease_Duration,-0.004637849572206806,0.004637849572206806
Types_of_Medicines_Betaferon,-0.002729641247922251,0.002729641247922251
Optic_discs,-0.0016243935717600046,0.0016243935717600046
Sphincters,-0.0013356444430495835,0.0013356444430495835
Gender_F,-0.0008800225787288947,0.0008800225787288947
Co_morbidity_No,-0.0007644704669564382,0.0007644704669564382
Nystagmus,-0.0005523514568346441,0.0005523514568346441
Gender_M,-0.00029678817600397694,0.00029678817600397694
Types_of_Medicines_Gelenia,-0.0002746857262376968,0.0002746857262376968
Presenting_Symptom_Visual,0.0002661274705393198,0.0002661274705393198
Bowel_and_bladder_function,8.361413159121452e-05,8.361413159121452e-05
Brain_stem,0.0,0.0
Mental,0.0,0.0
Speech,0.0,0.0
Types_of_Medicines_Avonex,0.0,0.0
Swallowing,0.0,0.0
Mobility,0.0,0.0
Mental_State,0.0,0.0
Ocular_Movement,0.0,0.0
Presenting_Symptom_Balance,0.0,0.0
Types_of_Medicines_Tysabri,0.0,0.0
Presenting_Symptom_Motor & Visual,0.0,0.0
Presenting_Symptom_Motor & Sensory,0.0,0.0
Presenting_Symptom_Motor & Behavioural,0.0,0.0
Presenting_Symptom_Pain,0.0,0.0
Presenting_Symptom_Sensory & Visual,0.0,0.0
Presenting_Symptom_Sensory & Motor,0.0,0.0
"Presenting_Symptom_Sensory & Visual ,Balance , Motor, Sexual,Fatigue",0.0,0.0
Co_morbidity_Yes,0.0,0.0
