Feature,SHAP_Value,Absolute_SHAP
Total_Abnormal_Neuro_Findings,0.06710955354332228,0.06710955354332228
Age_of_onset,0.04465797229977128,0.04465797229977128
Coordination,0.03909154506330615,0.03909154506330615
Age,0.027555119444063778,0.027555119444063778
Motor_System,0.02507401429808,0.02507401429808
Cerebella,0.0213949750596437,0.0213949750596437
Presenting_Symptom_Sensory,0.011169541133217581,0.011169541133217581
Pyramidal,-0.010376529809681777,0.010376529809681777
Disease_Duration,0.0063094041624926255,0.0063094041624926255
Sensory_System,0.006296705735340448,0.006296705735340448
Visual,-0.005425148275729408,0.005425148275729408
Presenting_Symptom_Motor,-0.005392111240680007,0.005392111240680007
Gait,-0.004300388009443117,0.004300388009443117
Sensory,-0.004171856522515026,0.004171856522515026
Types_of_Medicines_Betaferon,0.0029195876523179357,0.0029195876523179357
Types_of_Medicines_Rebif,0.0029079746494226418,0.0029079746494226418
Presenting_Symptom_Visual,0.0024282490902845337,0.0024282490902845337
Gender_M,-0.0011179535803300207,0.0011179535803300207
Sphincters,-0.0007646040728041693,0.0007646040728041693
Gender_F,-0.0005909452832385783,0.0005909452832385783
Co_morbidity_No,-0.0005594991289100183,0.0005594991289100183
Nystagmus,-0.0005184937239932478,0.0005184937239932478
Optic_discs,0.0004137031597002452,0.0004137031597002452
Bowel_and_bladder_function,0.000291595881448144,0.000291595881448144
Types_of_Medicines_Gelenia,-9.947202743812913e-05,9.947202743812913e-05
Brain_stem,0.0,0.0
Mental,0.0,0.0
Speech,0.0,0.0
Types_of_Medicines_Avonex,0.0,0.0
Swallowing,0.0,0.0
Mobility,0.0,0.0
Mental_State,0.0,0.0
Ocular_Movement,0.0,0.0
Presenting_Symptom_Balance,0.0,0.0
Types_of_Medicines_Tysabri,0.0,0.0
Presenting_Symptom_Motor & Visual,0.0,0.0
Presenting_Symptom_Motor & Sensory,0.0,0.0
Presenting_Symptom_Motor & Behavioural,0.0,0.0
Presenting_Symptom_Pain,0.0,0.0
Presenting_Symptom_Sensory & Visual,0.0,0.0
Presenting_Symptom_Sensory & Motor,0.0,0.0
"Presenting_Symptom_Sensory & Visual ,Balance , Motor, Sexual,Fatigue",0.0,0.0
Co_morbidity_Yes,0.0,0.0
