Feature,Mean_Importance,SD_Importance
Total_Abnormal_Neuro_Findings,0.09767857142857136,0.036410330400367764
Coordination,0.02428571428571421,0.009884537502212876
Age_of_onset,0.02267857142857137,0.017515481490291224
Motor_System,0.01845238095238089,0.018241886961312345
Presenting_Symptom,0.015773809523809468,0.00873703282758998
Types_of_Medicines,0.006071428571428535,0.004164965639175198
Age,0.005714285714285624,0.008380817098475268
Cerebella,0.005654761904761881,0.005073510080323811
Sensory,0.00505952380952378,0.0057046670037419955
Disease_Duration,0.004166666666666634,0.0021789291925860656
Visual,0.0021428571428571317,0.003400680204068014
Sensory_System,0.001964285714285622,0.0027413283189688794
Gender,0.0016666666666666607,0.0006410910484683912
Gait,0.001130952380952377,0.002545643426231312
Optic_discs,0.0005357142857142838,0.0009392698713130621
Sphincters,0.0003571428571428559,0.0007142857142857118
Bowel_and_bladder_function,0.00023809523809523725,0.0006070261325705676
Co_morbidity,0.0,0.0
Brain_stem,0.0,0.0
Nystagmus,0.0,0.0
Speech,0.0,0.0
Mental,0.0,0.0
Mobility,0.0,0.0
Swallowing,0.0,0.0
Mental_State,0.0,0.0
Ocular_Movement,0.0,0.0
Pyramidal,-0.0021428571428571464,0.004479735171958747
