Column,Data_Type,Missing_Values,Missing_Percentage,Unique_Values
Patient_ID,int64,0,0.0,60
Gender,string,1,1.67,3
Age,int64,0,0.0,33
Age_of_onset,int64,0,0.0,28
EDSS,float64,0,0.0,12
MRI_EDSS_Time_Difference_Under_2_Months,string,0,0.0,2
Types_of_Medicines,string,0,0.0,5
Presenting_Symptom,string,0,0.0,13
Co_morbidity,string,0,0.0,2
Pyramidal,int64,0,0.0,2
Cerebella,int64,0,0.0,2
Brain_stem,int64,0,0.0,2
Sensory,int64,0,0.0,2
Sphincters,int64,0,0.0,2
Visual,int64,0,0.0,2
Mental,int64,0,0.0,2
Speech,int64,0,0.0,2
Motor_System,int64,0,0.0,2
Sensory_System,int64,0,0.0,2
Coordination,int64,0,0.0,2
Gait,int64,0,0.0,2
Bowel_and_bladder_function,int64,0,0.0,2
Mobility,int64,0,0.0,2
Mental_State,int64,0,0.0,2
Optic_discs,int64,0,0.0,2
Fields,int64,0,0.0,1
Nystagmus,int64,0,0.0,2
Ocular_Movement,int64,0,0.0,2
Swallowing,int64,0,0.0,2
Disease_Duration,float64,1,1.67,13
EDSS_Category,category,0,0.0,3
Total_Abnormal_Neuro_Findings,int64,0,0.0,11
