Feature,Modality,Feature_Type,Data_Type,Missing_Values,Unique_Values
Gender,Clinical,Categorical,str,1,3
Age,Clinical,Numerical,int64,0,33
Age_of_onset,Clinical,Numerical,int64,0,28
Types_of_Medicines,Clinical,Categorical,str,0,5
Presenting_Symptom,Clinical,Categorical,str,0,13
Co_morbidity,Clinical,Categorical,str,0,2
Pyramidal,Clinical,Numerical,int64,0,2
Cerebella,Clinical,Numerical,int64,0,2
Brain_stem,Clinical,Numerical,int64,0,2
Sensory,Clinical,Numerical,int64,0,2
Sphincters,Clinical,Numerical,int64,0,2
Visual,Clinical,Numerical,int64,0,2
Mental,Clinical,Numerical,int64,0,2
Speech,Clinical,Numerical,int64,0,2
Motor_System,Clinical,Numerical,int64,0,2
Sensory_System,Clinical,Numerical,int64,0,2
Coordination,Clinical,Numerical,int64,0,2
Gait,Clinical,Numerical,int64,0,2
Bowel_and_bladder_function,Clinical,Numerical,int64,0,2
Mobility,Clinical,Numerical,int64,0,2
Mental_State,Clinical,Numerical,int64,0,2
Optic_discs,Clinical,Numerical,int64,0,2
Fields,Clinical,Numerical,int64,0,1
Nystagmus,Clinical,Numerical,int64,0,2
Ocular_Movement,Clinical,Numerical,int64,0,2
Swallowing,Clinical,Numerical,int64,0,2
Disease_Duration,Clinical,Numerical,float64,1,13
Total_Abnormal_Neuro_Findings,Clinical,Numerical,int64,0,11
Lesion_Volume_mm3,MRI,Numerical,float64,0,60
Lesion_Count,MRI,Numerical,int64,0,38
Average_Lesion_Size,MRI,Numerical,float64,0,60
Largest_Lesion_Size,MRI,Numerical,float64,0,59
Smallest_Lesion_Size,MRI,Numerical,float64,0,21
Small_Lesions,MRI,Numerical,int64,0,15
Medium_Lesions,MRI,Numerical,int64,0,27
Large_Lesions,MRI,Numerical,int64,0,28
